year,chapter,chapter_name,emergency
1998,I,Infectious & parasitic diseases,104509.0
1998,II,Neoplasms,156743.0
1998,III,Blood & immune disorders,45268.0
1998,IV,"Endocrine, nutritional & metabolic",53947.0
1998,IX,Circulatory system diseases,512173.0
1998,V,Mental & behavioural disorders,141825.0
1998,VI,Nervous system diseases,88208.0
1998,VII,Eye & adnexa diseases,21810.0
1998,VIII,Ear & mastoid diseases,13060.0
1998,X,Respiratory system diseases,459088.0
1998,XI,Digestive system diseases,335498.0
1998,XII,Skin & subcutaneous tissue,84099.0
1998,XIII,Musculoskeletal & connective tissue,117839.0
1998,XIV,Genitourinary system diseases,171121.0
1998,XIX,Injury & poisoning,569372.0
1998,XV,Pregnancy & childbirth,140794.0
1998,XVI,Perinatal conditions,15059.0
1998,XVII,Congenital malformations,9443.0
1998,XVIII,Symptoms & abnormal findings,692017.0
1998,XXI,Health services contacts,53081.0
1999,I,Infectious & parasitic diseases,103786.0
1999,II,Neoplasms,158742.0
1999,III,Blood & immune disorders,46656.0
1999,IV,"Endocrine, nutritional & metabolic",56738.0
1999,IX,Circulatory system diseases,507002.0
1999,V,Mental & behavioural disorders,136155.0
1999,VI,Nervous system diseases,87517.0
1999,VII,Eye & adnexa diseases,22511.0
1999,VIII,Ear & mastoid diseases,12351.0
1999,X,Respiratory system diseases,451928.0
1999,XI,Digestive system diseases,345970.0
1999,XII,Skin & subcutaneous tissue,90386.0
1999,XIII,Musculoskeletal & connective tissue,120466.0
1999,XIV,Genitourinary system diseases,174213.0
1999,XIX,Injury & poisoning,587582.0
1999,XV,Pregnancy & childbirth,141970.0
1999,XVI,Perinatal conditions,15460.0
1999,XVII,Congenital malformations,9310.0
1999,XVIII,Symptoms & abnormal findings,714377.0
1999,XXI,Health services contacts,53659.0
2000,I,Infectious & parasitic diseases,111934.0
2000,II,Neoplasms,155859.0
2000,III,Blood & immune disorders,45982.0
2000,IV,"Endocrine, nutritional & metabolic",56777.0
2000,IX,Circulatory system diseases,496819.0
2000,V,Mental & behavioural disorders,130008.0
2000,VI,Nervous system diseases,87350.0
2000,VII,Eye & adnexa diseases,22503.0
2000,VIII,Ear & mastoid diseases,12480.0
2000,X,Respiratory system diseases,423152.0
2000,XI,Digestive system diseases,349871.0
2000,XII,Skin & subcutaneous tissue,95461.0
2000,XIII,Musculoskeletal & connective tissue,123770.0
2000,XIV,Genitourinary system diseases,176670.0
2000,XIX,Injury & poisoning,560280.0
2000,XV,Pregnancy & childbirth,131980.0
2000,XVI,Perinatal conditions,16106.0
2000,XVII,Congenital malformations,8750.0
2000,XVIII,Symptoms & abnormal findings,799138.0
2000,XXI,Health services contacts,51946.0
2001,I,Infectious & parasitic diseases,117597.0
2001,II,Neoplasms,156251.0
2001,III,Blood & immune disorders,49083.0
2001,IV,"Endocrine, nutritional & metabolic",59570.0
2001,IX,Circulatory system diseases,484012.0
2001,V,Mental & behavioural disorders,126173.0
2001,VI,Nervous system diseases,87985.0
2001,VII,Eye & adnexa diseases,22323.0
2001,VIII,Ear & mastoid diseases,12286.0
2001,X,Respiratory system diseases,441208.0
2001,XI,Digestive system diseases,350247.0
2001,XII,Skin & subcutaneous tissue,96719.0
2001,XIII,Musculoskeletal & connective tissue,123379.0
2001,XIV,Genitourinary system diseases,177474.0
2001,XIX,Injury & poisoning,567305.0
2001,XV,Pregnancy & childbirth,130877.0
2001,XVI,Perinatal conditions,16064.0
2001,XVII,Congenital malformations,9093.0
2001,XVIII,Symptoms & abnormal findings,816150.0
2001,XXI,Health services contacts,49822.0
2002,I,Infectious & parasitic diseases,114476.0
2002,II,Neoplasms,158767.0
2002,III,Blood & immune disorders,49839.0
2002,IV,"Endocrine, nutritional & metabolic",63007.0
2002,IX,Circulatory system diseases,491366.0
2002,V,Mental & behavioural disorders,127285.0
2002,VI,Nervous system diseases,89440.0
2002,VII,Eye & adnexa diseases,21984.0
2002,VIII,Ear & mastoid diseases,12023.0
2002,X,Respiratory system diseases,440652.0
2002,XI,Digestive system diseases,367031.0
2002,XII,Skin & subcutaneous tissue,101808.0
2002,XIII,Musculoskeletal & connective tissue,131027.0
2002,XIV,Genitourinary system diseases,184916.0
2002,XIX,Injury & poisoning,573117.0
2002,XV,Pregnancy & childbirth,133299.0
2002,XVI,Perinatal conditions,17342.0
2002,XVII,Congenital malformations,9168.0
2002,XVIII,Symptoms & abnormal findings,817052.0
2002,XXI,Health services contacts,49881.0
2003,I,Infectious & parasitic diseases,112728.0
2003,II,Neoplasms,156595.0
2003,III,Blood & immune disorders,50657.0
2003,IV,"Endocrine, nutritional & metabolic",66276.0
2003,IX,Circulatory system diseases,486389.0
2003,V,Mental & behavioural disorders,125131.0
2003,VI,Nervous system diseases,92319.0
2003,VII,Eye & adnexa diseases,23336.0
2003,VIII,Ear & mastoid diseases,13058.0
2003,X,Respiratory system diseases,485552.0
2003,XI,Digestive system diseases,376212.0
2003,XII,Skin & subcutaneous tissue,109247.0
2003,XIII,Musculoskeletal & connective tissue,138786.0
2003,XIV,Genitourinary system diseases,198160.0
2003,XIX,Injury & poisoning,601486.0
2003,XV,Pregnancy & childbirth,130787.0
2003,XVI,Perinatal conditions,18094.0
2003,XVII,Congenital malformations,9199.0
2003,XVIII,Symptoms & abnormal findings,916072.0
2003,XXI,Health services contacts,48650.0
2004,I,Infectious & parasitic diseases,121102.0
2004,II,Neoplasms,160299.0
2004,III,Blood & immune disorders,53100.0
2004,IV,"Endocrine, nutritional & metabolic",70854.0
2004,IX,Circulatory system diseases,486284.0
2004,V,Mental & behavioural disorders,129584.0
2004,VI,Nervous system diseases,96953.0
2004,VII,Eye & adnexa diseases,25281.0
2004,VIII,Ear & mastoid diseases,13665.0
2004,X,Respiratory system diseases,505423.0
